Actebis_SKU	Mfr_SKU	Mfr_Name	Product_Group	Product_Text	Product_Description	Price	Stock_Qty	Stock_Date	Barcode	TaxKey
1672439	CML4GX3M2A1600C9B	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 4GB 2x2GB Vengeance	CORSAIR DDR3 1600MHz 4GB 2x2GB DIMM Unbuffered 9-9-9-24 Vengeance Low Profile Heatspreader Supports Core i7 1.5V Blue heatspreader	245,30	0	09-09-16	0843591014724	
1672440	CML8GX3M2A1600C9B	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHZ 8GB 2x4GB Vengeance	CORSAIR DDR3 1600MHz 8GB 2x4GB DIMM Unbuffered 9-9-9-24 Vengeance Low Profile Heatspreader Dual Channel 1.5V Blue heatspreader	391,90	0	09-09-16	0843591014397	
1708131	CMX16GX3M4A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Hmz 16GB 4x4GB XMS	CORSAIR DDR3 1600Hmz 16GB 4x4GB Unbuffered  9-19-9-27  1.5V  XMS3 with Classic Heat Spreader - Core i3  i5 and i7 Dual Channel D	761,70	0	09-09-16	0843591016094	
1713131	CMSA4GX3M1A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 4GB 1333Mhz Apple Sodimm	CORSAIR DDR3 4GB 1x4GB 1333MHz 7-7-7-20 SODIMM  Apple Qualified Unbuffered Apple Qualified Apple iMac MacBook and MacBook Pro	190,50	1	06-09-16	0843591016117	
1713132	CMSA8GX3M2A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 8GB 1333Mhz Apple Sodimm	CORSAIR DDR3 8GB 2x4GB Dual channel kit 1333MHz 7-7-7-20 SODIMM Apple Qualified Unbuffered Apple iMac MacBook and MacBook Pro	381,10	20	01-09-16	0843591016124	
1729867	CMZ8GX3M1A1600C10	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 8GB Vengeance	CORSAIR DDR3 1600MHz 8GB DIMM Unbuffered 10-10-10-27 Vengeance Black Heatspreader Supports Core i7 1.5V Black heatspreader	345,70	0	09-09-16	0843591016179	
1729868	CMSO8GX3M1A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 1333MHz 8GB 204 SODIMM	CORSAIR DDR3 1333MHz 1x8GB SODIMM Unbuffered Timing: 9-9-9-24 Voltage: 1.5V	329,50	0	09-09-16	0843591016155	
1732377	CC-9011012-WW	Corsair	Chassis - Midi Tower	CORSAIR Graphite 500R Mid-Tower Black	CORSAIR Graphite Series 500R Mid-Tower ATX PC Case USB 3.0 / 1x IEEE / 2x 120mm fans  1394 4x5.25" and 6x 3,5" Black	1134,08	19		0843591013710	
1732378	CC-9011013-WW	Corsair	Chassis - Midi Tower	CORSAIR Graphite 500R Mid-Tower White	CORSAIR Graphite Series 500R Mid-Tower ATX PC Case USB 3.0 / 1x IEEE / 3x 120mm fans  1394 4x5.25" and 6x 3,5" White	1133,08	19		0843591015004	
1734066	CML8GX3M2A1600C9W	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 8GB 2x4GB Vengeance White	CORSAIR 8GB Kit DDR3 2x4GB 1600MHz 9-9-9-24 high performance Vengeance memory module 1.5V perfect for Intel Sandy Bridge White	413,50	0	09-09-16	0843591014731	
1734727	CMZ32GX3M4X1866C10	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866Mhz 32GB KIT Vengeance	CORSAIR DDR3 32GB Kit (4x8GB) 1866MHz Unbuffered 10-11-10-30 Vengeance Heatspreader Supports Core i7 1.5V Extreme Overclocking	1436,00	0	09-09-16	0843591012942	
1734728	CMZ32GX3M4X1866C10R	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866Mhz 32GB KIT Vengeance	CORSAIR DDR3 32GB Kit (4x8GB) 1866MHz Unbuffered 10-11-10-30 Vengeance Heatspreader Supports Core i7 1.5V Extreem overclocking	1436,00	0	06-09-16	0843591012959	
1734729	CMZ8GX3M4X1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 8GB Kit Vengeance	CORSAIR DDR3 8GB Kit (2x4GB) 1600MHz Unbuffered 9-9-9-24 Vengeance Heatspreader XMP 1.3 1.5V Support Intel P67, Z68 and X79 Platform	489,60	0	09-09-16	0843591012973	
1734829	CMZ8GX3M2A1866C9	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866Mhz 8GB 2x4GB	CORSAIR DDR3 8GB 2x4GB 1866MHz 240 Dimm Unbuffered 9-10-9-24 Vengeance Heatspreader Core i5-i7 and Core 2/AMD Phenom II - Dual Cha	413,50	0	09-09-16	0843591010870	
1735934	CMZ32GX3M4X1600C10	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Mhz 32GB kit 4x4GB	CORSAIR DDR3 1600MHz 32GB 4x240 Dimm Unbuffered 10-10-10-27 Vengeance Heatspreader Supports Core i7 XMP 1.3 1.5V	1382,00	0	06-09-16	0843591014687	
1742684	CC-9011015-WW	Corsair	Chassis - Midi Tower	CORSAIR Obsidian Series 550D Black	CORSAIR Corsair Obsidian Series 550D Mid-Tower Silent Case Front panel USB 3.0 Three 120mm fans 4 tool-free optical drive bays Black	1334,24	0	21-12-16	0843591016599	
1742685	CC-9011014-WW	Corsair	Chassis - Midi Tower	CORSAIR Carbide Series 300R Black	CORSAIR Corsair Carbide Series 300R Gaming Case extern: 3x 5.25i intern: 4x 2.5i/3.5i  Black	740,26	6	18-10-16	0843591016582	
1742688	CMSX8GX3M2A1600C9	Corsair	Memory - Notebook - DDR3-1600	CORSAIR 8GB RAMKit 2x4GB DDR3 1600 SODim	CORSAIR 8GB RAMKit 2x4GB DDR3 1600 SODimm unbuffered 9-9-9-24 1,5V Black PCB	380,92	0	09-09-16	0843591016681	
1742712	CMZ16GX3M4X1600C9G	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Mhz 16GB Kit 4x4GB Veng	CORSAIR DDR3 1600MHz 16GB Kit 4x4GB Dimm Unbuffered 9-9-9-24 Vengeance Green Heatspreader Supports Core i7  XMP 1.3 1.35V	805,00	0	09-09-16	0843591012928	
1742714	CMZ8GX3M2A2133C11R	Corsair	Memory - Desktop - DDR3-2133	CORSAIR DDR3 2133MHz 8GB 4x4GB Dominato	CORSAIR DDR3 2133MHz 8GB Kit 2x4GB Dimm Unbuffered 11-11-11-27 Vengeance Red Heatspreader BlackPCB 1.5V	457,30	0	09-09-16	0843591016544	
1742715	CML8GX3M2A1866C9R	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866Mhz 8GB ( 2x4GB ) Red	CORSAIR DDR3 1866MHz 8GB Kit 2x4GB Dimm Unbuffered 9-10-9-27 Vengeance Red Heatspreader Core i7 / i5 and Core 2 Dual 1.5V	413,50	0	09-09-16	0843591014809	
1742716	CMZ8GX3M2A1600C9G	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Mhz 8GB Kit 2x4GB Green	CORSAIR DDR3 1600MHz 8GB Kit 2x4GB Dimm Unbuffered 9-9-9-24 Vengeance Green Heatspreader Black Core i7 Core i5 and Core 2 1.35V	413,50	0	09-09-16	0843591015424	
1742717	CMZ16GX3M2A1600C10	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Mhz 16GB Kit 2x8GB	CORSAIR DDR3 1600MHz 16G Kit 2x8GB Dimm  Unbuffered  10-10-10-27  with Vengeance Black Heat Spreader - Core i7  Core i5 1.5V	691,00	0	09-09-16	0843591012904	
1742718	CMSX4GX3M1A1600C9	Corsair	Memory - Notebook - DDR3-1600	CORSAIR DDR3 1600Mhz 4GB 1x4GB SODIMM	CORSAIR DDR3 1600MHz 4GB 1x4GB SODIMM Unbuffered 9-9-9-24 SODIMM Black PCB 1.5V Intel 2nd Generation Intel Core i5 / i7 only	190,50	0	12-09-16	0843591016520	
1743975	CMSA16GX3M2A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 1333MHz 16GB Kit 2x 8GB	CORSAIR DDR3 1333MHz 16GB Kit ( 2x 8GB ) 204 SODIMM Apple Qualified Unbuffered	674,80	5	01-09-16	0843591014755	
1743976	CMSA8GX3M1A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 1333MHz 8GB 1x8GB SODIMM	CORSAIR DDR3 1333MHz 8GB 1x8GB 204 SODIMM Apple Qualified Unbuffered	337,60	0	07-09-16	0843591014762	
1744643	CMZ8GX3M2A1866C9R	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866Mhz 8GB Kit 2x4GB	CORSAIR DDR3 1866MHz 8GB KIT 2x4GB 240 DIMM Dual channel unbuffered 9-9-9-24 Vengeance Heatspreader Red Dual Channel 1.5V	413,50	0	09-09-16	0843591014137	
1746998	CMX8GX3M1A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 8GB XMS3 1333Mhz	CORSAIR DDR3 1333MHz 8GB 1X 240 DIMM Unbuffered 9-9-9-24 XMS3 with Classic Heat Spreader - Core i7 Core i5 and Core 2	340,30	0	09-09-16	0843591016285	
1747388	CMX16GX3M2A1600C11	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 16GB 2x8GB 1600 Mhz	CORSAIR DDR3 1600MHz 16GB 2x8GB 240 DIMM Unbuffered 11-11-11-30  1.5V  XMS3 with Classic Heat Spreader - Core i7  Core i5 and Core	680,20	0	06-09-16	0843591014632	
1747441	CMSO16GX3M2A1333C9	Corsair	Memory - Notebook - DDR3-1333	CORSAIR DDR3 16GB Kit 2x8GB 1333Mhz SO	CORSAIR DDR3 1333MHZ 16GB Kit 2x8GB 204 SODIMM Unbuffered	658,60	0	09-09-16	0843591016131	
1747442	CML4GX3M1A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 4GB 1600Mhz Vengeance	CORSAIR DDR3 1600MHz 4GB 1x240 Dimm Unbuffered 9-9-9-24 Vengeance Low Profile Heatspreader Core i7, Core i5 and Core 2 1.5V	195,90	0	09-09-16	0843591016650	
1751594	CMSX16GX3M2A1600C10	Corsair	Memory - Notebook - DDR3-1600	CORSAIR DDR3 16GB Kit 2x8GB 1600Mhz Sodi	CORSAIR DDR3 1600MHz 16GB 2x 8GB 204 SODIMM Unbuffered 10-10-10-27  Black PCB 1.5V Intel 2nd Generation Intel Core	674,80	3	31-08-16	0843591016971	
1751595	CMSX8GX3M1A1600C10	Corsair	Memory - Notebook - DDR3-1600	CORSAIR DDR3 8GB 1600 Mhz Sodimm	CORSAIR DDR3 1600MHz 8GB 1x8GB 204 SODIMM Unbuffered 10-10-10-27 SODIMM Black PCB 1.5V Black PCB 1.5V Intel 2nd Generation	337,60	6	06-09-16	0843591016988	
1755004	CMV16GX3M2A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333Mhz 16GB Kit 2x8GB	CORSAIR DDR3 1333Mhz 16GB Kit 2x8GB DIMM Unbuffered	658,60	0	09-09-16	0843591020909	
1755005	CMV8GX3M1A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333Mhz 1XGB	CORSAIR DDR3 1333Mhz 1XGB DIMM Unbuffered	329,50	0	09-09-16	0843591020916	
1770648	CO-9050001-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan AF120 Single 100RPM	CORSAIR Case Fan AF120 Low noise 21 dBA high airflow fan 120 mm x 25 mm 3 pin Single Pack Incl.3 colored rings 1100 RPM	148,13	0	22-09-16	0843591014151	
1770649	CO-9050002-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan AF120 Dual 1100RPM	CORSAIR Case Fan AF120 Low noise 21 dBA high airflow fan 120 mm x 25 mm 3 pin dual Pack Incl.3 colored rings 1100 RPM	271,51	0	06-09-16	0843591014168	
1771200	CO-9050003-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan AF120 Single 1650 RPM	CORSAIR Case Fan  AF120  30 dBA High airflow fan  120 mm x 25 mm  3 pin  Single Pack Incl.3 colored rings 1650 RPM	148,06	0	31-08-16	0843591014175	
1771201	CO-9050004-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan AF120 Dual 1650 RPM	CORSAIR Case Fan  AF120  30 dBA High airflow fan  120 mm x 25 mm  3 pin  dual Pack Incl.3 colored rings 1650 RPM	271,51	0	31-08-16	0843591014182	
1771202	CO-9050005-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan SP120 Singel 1450 RPM	CORSAIR Case Fan SP120 Low noise 23dBA high pressure fan 120 mm x 25 mm 3 pin Single Pack Incl.3 colored rings 1450 RPM	148,02	5	15-09-16	0843591014199	
1771203	CO-9050006-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan SP120 Dual 1450 RPM	CORSAIR Case Fan SP120 Low noise 23dBA high pressure fan 120 mm x 25 mm 3 pin Dual Pack 3 colored rings 1450 RPM	271,52	0	06-09-16	0843591014205	
1771204	CO-9050007-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan SP120 singel	CORSAIR Case Fan SP120 High pressure fan 35 dBA 120 mm x 25 mm 3 pin Single Pack Incl.Three colored rings 2350 RPM	148,02	6	01-09-16	0843591014229	
1771205	CO-9050008-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan SP120 dual	CORSAIR Case Fan SP120 High pressure fan 35 dBA 120 mm x 25 mm 3 pin dual Pack Incl. Three colored rings 2350 RPM	271,52	16	01-09-16	0843591014281	
1771206	CO-9050009-WW	Corsair	Chassis - Options - FAN	CORSAIR Case Fan AF140 Single 150RPM	CORSAIR Case Fan AF140 Low noise 24 dBA high airflow fan 140 mm x 25 mm 3 pin Single Pack 1150 RPM	172,74	0	06-09-16	0843591018234	
1771207	CC-9011016-WW	Corsair	Chassis - Midi Tower	CORSAIR Vengeance C70 PC Gunmetal Black	CORSAIR Vengeance C70 ATX Gaming Case dual USB 3.0 ports and 6 SSD-ready drive bays 3x5 25 6x2 5" 2x120mm fans Gunmetal Black	1067,40	0	31-08-16	0843591020930	
1771208	CC-9011018-WW	Corsair	Chassis - Midi Tower	CORSAIR Vengeance C70 PC Military Green	CORSAIR Vengeance C70 ATX Gaming Case dual USB 3.0 ports and 6 SSD-ready drive bays 3x5 25 6x2 5" 2x120mm fans Military Green	1073,98	3	15-11-16	0843591021364	
1771210	CMX32GX3M4A1600C11	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 32GB Kit 4x8GB XMS	CORSAIR DDR3 1600MHz 32GB Kit 4x8GB DIMM Unbuffered 11-11-11-30 1.5V XMS3 with Classic Heat Spreader Core i7 Core i5 and Core 2	1360,00	0	09-09-16	0843591021807	
1771211	CMZ16GX3M2A1866C10	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866MHz 16GB Kit 2x8GB	CORSAIR DDR3 1866MHz 16GB Kit 2x8 Dimm Unbuffered 10-11-10-30 Vengeance Heatspreader Core i7 Core i5 and Core 2 Dual Channel 1.5V	718,10	0	09-09-16	0843591021968	
1771212	CMZ16GX3M2A1866C10R	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866MHz 16GB Kit 2x8GB	CORSAIR DDR3 1866MHz 16GB Kit 2x8GB Dimm Unbuffered 10-11-10-30 Vengeance Red Heatspreader Core i7 i5 and Core 2- Dual Channel 1.5V	718,10	0	09-09-16	0843591021975	
1771214	CML16GX3M2A1600C10	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 4G 2x2GB 240DIMM	CORSAIR DDR3 1600MHz 4G 2x2GB 240DIMM 1.5V Unbuffered 9-9-9-24 XMS3 with Classic Heat Spreader - validated for Intel Sandy Bridge	691,00	0	07-09-16	0843591022408	
1789759	CMX16GX3M2A1333C9	Corsair	Memory - Desktop - DDR3-1333	CORSAIR DDR3 1333MHz 16GB Kit 2x8GB	CORSAIR DDR3 1333MHz 16GB Kit 2x8GB 240DIMM 1.5V Unbuffered 9-9-9-24 XMS3 with Classic Heat Spreader	680,20	0	09-09-16	0843591024402	
1789761	CMZ16GX3M2A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600 16GB Kit 2x8GB	CORSAIR DDR3  1600MHz 16GB Kit  2x4GB 240 Dimm  Unbuffered  9-9-9-24  Vengeance Heatspreader  Dual Channel  1.5V	707,30	0	09-09-16	0843591024433	
1789764	CMZ8GX3M1A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Mhz 1x8GB Vengeance	CORSAIR DDR3  1600MHz 8GB 1x 8GB 240 Dimm  Unbuffered  9-9-9-24  Vengeance Heatspreader  Dual Channel  1.5V	353,80	0	09-09-16	0843591024488	
1789765	CMZ8GX3M2A2133C11B	Corsair	Memory - Desktop - DDR3-2133	CORSAIR DDR3 2133MHZ 8GB 2x4GB	CORSAIR DDR3 2133MHz 8GB KIT 2x4GB 240 DIMM Dual channel Unbuffered 11-11-11-27 Vengeance Blue Heatspreader BlackPCB 1.5V	457,30	0	09-09-16	0843591024495	
1790178	CMZ32GX3M4A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 32GB 4x8GB 240	CORSAIR DDR3 1600MHz 32GB Kit 4x8GB 240 Dimm Unbuffered  9-9-9-24  Vengeance Heatspreader Core i7 Core i5 Dual Channel 1.5V	1415,00	2	06-09-16	0843591024471	
1790906	CML32GX3M4A1600C10	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR2 1600Mhz 32GB Kit 4x8GB	CORSAIR DDR3 1600MHz 32GB Kit 4x8GB 240 Dimm Unbuffered 10-10-10-27 with Vengeance Low Profile Black Heat Spreader 1.5V	1382,00	0	09-09-16	0843591024389	
1794290	CMD16GX3M2A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 16GB KIT 2x8 Domina	CORSAIR DDR3 1600MHz 16GB KIT 2 x 8GB DIMM Unbuffered 9-9-9-24 DOMINATOR Platinum 1.5V	979,20	0	09-09-16	0843591021708	
1794292	CMD16GX3M4A1866C9	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866MHz 16GB KIT 4x4 Domina	CORSAIR DDR3 1866MHz 16GB KIT 4 x 4GB DIMM Unbuffered 9-10-9-27 DOMINATOR Platinum 1.5V	1306,00	0	09-09-16	0843591021722	
1794295	CMD8GX3M2A1600C9	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600MHz 8GB KIT 2x4 Domina	CORSAIR DDR3 1600MHz 8GB KIT 2 x 4GB DIMM Unbuffered 9-9-9-24 DOMINATOR Platinum 1.5V	653,00	0	09-09-16	0843591021753	
1794296	CMD8GX3M2A1866C9	Corsair	Memory - Desktop - DDR3-1800	CORSAIR DDR3 1866MHz 8GB KIT 2x4 Dominat	CORSAIR DDR3 1866MHz 8GB KIT 2 x 4GB DIMM Unbuffered 9-10-9-27 DOMINATOR Platinum 1.5V	653,00	0	06-09-16	0843591021760	
1828276	CC-9011017-WW	Corsair	Chassis - Midi Tower	CORSAIR Carbide Series 300R Black	CORSAIR Corsair Carbide Series 300R Gaming Case extern: 3x 5.25i intern: 4x 2.5i/3.5i  Black Window Case	836,28	17	01-09-16	0843591021258	
1837868	CML8GX3M1A1600C10	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Mhz 1x8GB Vengeance	CORSAIR DDR3 1600MHz 8GB 1x240 Dimm Unbuffered 10-10-10-27 with Vengeance Low Profile Heat Spreader  Core i7 Core i5 and Core 2 1.5V	345,70	0	09-09-16	0843591024952	
1837869	CMZ16GX3M2A1600C10R	Corsair	Memory - Desktop - DDR3-1600	CORSAIR DDR3 1600Mhz 16GB 2x8GB Vengeanc	CORSAIR DDR3 1600MHz 16GB 2x8GB 240 Dimm Unbuffered 10-10-10-27 with Vengeance Red Heat Spreader - Core i7 Core i5 and Core 2 1.5V	691,00	0	09-09-16	0843591024983	
